parent_product_code,child_product_code,quantity,output_quantity,assemble_on_pick
FR120DF.MW,FR00FS.MW,1,1,TRUE
FR120DF.MW,FR120DP.MW,1,1,TRUE
FR120DF.MW,FR060P.MW,1,1,TRUE
FR120DW.MF,FR120DC.W,1,1,TRUE
FR120DW.MF,FR00WS.MF,1,1,TRUE
FR120DW.MF,FR120DP.MF,1,1,TRUE
FR120DW.MF,FR060P.MF,1,1,TRUE
FR120DW.MG,FR120DC.W,1,1,TRUE
FR120DW.MG,FR00WS.MG,1,1,TRUE
FR120DW.MG,FR120DP.MG,1,1,TRUE
FR120DW.MG,FR060P.MG,1,1,TRUE
FR120DW.MW,FR120DC.W,1,1,TRUE
FR120DW.MW,FR120DP.MW,1,1,TRUE
FR120DW.MW,FR00WS.MW,1,1,TRUE
FR120DW.MW,FR060P.MW,1,1,TRUE
FR120F.MF,FR120C.W,1,1,TRUE
FR120F.MF,FR00FS.MF,1,1,TRUE
FR120F.MF,FR120P.MF,1,1,TRUE
FR120F.MG,FR120C.W,1,1,TRUE
FR120F.MG,FR00FS.MG,1,1,TRUE
FR120F.MG,FR120P.MG,1,1,TRUE
FR120F.MW,FR120C.W,1,1,TRUE
FR120F.MW,FR00FS.MW,1,1,TRUE
FR120F.MW,FR120P.MW,1,1,TRUE
S1114,S1104-K,1,1,TRUE
S1114,S1029,1,1,TRUE
S1114,SH150SS,1,1,TRUE
CP260,KC019,1,1,TRUE
CP260,S1007,1,1,TRUE
CP260,VB019,1,1,TRUE
CP261,CO024,1,1,TRUE
CP261,KC019,1,1,TRUE
CP261,VB019,1,1,TRUE
CP261,S1012,1,1,TRUE
CP262,2009302,1,1,TRUE
CP262,CO024,1,1,TRUE
CP262,KC020,1,1,TRUE
CP262,S1012,1,1,TRUE
CP262,VB020,1,1,TRUE
CP265,2009302,1,1,TRUE
CP265,KC020,1,1,TRUE
CP265,S1025,1,1,TRUE
CP265,S1032,1,1,TRUE
CP265,S1042,1,1,TRUE
CP265,VB020,1,1,TRUE
CP267,2009302,1,1,TRUE
CP267,CO024,1,1,TRUE
CP267,KC020,1,1,TRUE
CP267,S1012,1,1,TRUE
CP267,VB021,1,1,TRUE
CP267,S1005,1,1,TRUE
CP270,CO024,1,1,TRUE
CP270,KC021,1,1,TRUE
CP270,S1012,1,1,TRUE
CP270,S1025,1,1,TRUE
CP270,S1032,1,1,TRUE
CP270,S1042,1,1,TRUE
CP270,VB021,1,1,TRUE
CP270,S1018,1,1,TRUE
CP271,CO024,1,1,TRUE
CP271,KC022,1,1,TRUE
CP271,S1012,1,1,TRUE
CP271,S1025,1,1,TRUE
CP271,S1032,1,1,TRUE
CP271,S1042,1,1,TRUE
CP271,VB022,1,1,TRUE
CP275,CO100,1,1,TRUE
CP275,KC020,1,1,TRUE
CP275,VB020,1,1,TRUE
CP275,CO016,1,1,TRUE
CP276,CO100,1,1,TRUE
CP276,KC020,1,1,TRUE
CP276,VB020,1,1,TRUE
CP276,CO017,1,1,TRUE
S1060,S1025,1,1,TRUE
S1060,S1032,1,1,TRUE
S1060,S1042,1,1,TRUE
S1103,S1116,1,1,TRUE
S1103,S1103-K,1,1,TRUE
S1103,SH150SS,1,1,TRUE
S1062,S1026,1,1,TRUE
S1062,S1032,1,1,TRUE
S1062,S1042,1,1,TRUE
S1113,S1027,1,1,TRUE
S1113,S1103-K,1,1,TRUE
S1113,SH150SS,1,1,TRUE
500702,50070,1,1,TRUE
500702,Right Hand Cut Out,1,1,TRUE
500701,50070,1,1,TRUE
500701,Left Hand Cut Out,1,1,TRUE
MACC01.L,MACC01,1,1,TRUE
MACC01.L,Left Hand Cut Out,1,1,TRUE
MACC01.R,MACC01,1,1,TRUE
MACC01.R,Right Hand Cut Out,1,1,TRUE
PR0901,PR090,1,1,TRUE
PR0901,Left Hand Cut Out,1,1,TRUE
PR0902,PR090,1,1,TRUE
PR0902,Right Hand Cut Out,1,1,TRUE
660701,66070,1,1,TRUE
660701,Left Hand Cut Out,1,1,TRUE
660702,66070,1,1,TRUE
660702,Right Hand Cut Out,1,1,TRUE
TO2WK01,SH150SS,1,1,TRUE
TO2WK01,TO223,1,1,TRUE
TO2WK01,TO235,1,1,TRUE
TO2WK01,TO2WV01,1,1,TRUE
TO2WK01,TORR01,1,1,TRUE
SP.XE.007,SP.XE.006,1,1,TRUE
FR080F.MG,FR080C.W,1,1,TRUE
FR080F.MG,FR00FS.MG,1,1,TRUE
FR080F.MG,FR080P.MG,1,1,TRUE
CO2WK01,CO223,1,1,TRUE
CO2WK01,CO235,1,1,TRUE
CO2WK01,CO2WV01,1,1,TRUE
CO2WK01,CORR01,1,1,TRUE
CO2WK01,SH150SS,1,1,TRUE
FR060F.SG,FR060C.W,1,1,TRUE
FR060F.SG,FR00FS.SG,1,1,TRUE
FR060F.SG,FR060P.SG,1,1,TRUE
FR060W.SG,FR060C.W,1,1,TRUE
FR060W.SG,FR00WS.SG,1,1,TRUE
FR060W.SG,FR060P.SG,1,1,TRUE
FR080F.SG,FR080C.W,1,1,TRUE
FR080F.SG,FR00FS.SG,1,1,TRUE
FR080F.SG,FR080P.SG,1,1,TRUE
FR080W.SG,FR080C.W,1,1,TRUE
FR080W.SG,FR00WS.SG,1,1,TRUE
FR080W.SG,FR080P.SG,1,1,TRUE
FR120DF.SG,FR120DC.W,1,1,TRUE
FR120DF.SG,FR00FS.SG,1,1,TRUE
FR120DF.SG,FR120DP.SG,1,1,TRUE
FR120DF.SG,FR060P.SG,1,1,TRUE
FR120DW.SG,FR120DC.W,1,1,TRUE
FR120DW.SG,FR00WS.SG,1,1,TRUE
FR120DW.SG,FR120DP.SG,1,1,TRUE
FR120DW.SG,FR060P.SG,1,1,TRUE
